10 0
110 0
210 0
310 0
410 0
510 0
610 1000
710 997
810 0
910 1000
1010 999
1110 997
1210 999
1310 3000
1410 2000
1510 3001
1610 2994
1710 4002
1810 4000
1910 5003
2010 4997
2110 4997
2210 6002
2310 6995
2410 7001
2510 8005
2610 8992
2710 9001
2810 8999
2910 10000
3010 10999
3110 12002
3210 11997
3310 14000
3410 14000
3510 14000
3610 16000
3710 17000
3810 17000
3910 17999
4010 19001
4110 20000
4210 21003
4310 21996
4410 24004
4510 23995
4610 25000
4710 25999
4810 26999
4910 29000
5010 29999
5110 30998
5210 32002
5310 34001
5410 34999
5510 35999
5610 37999
5710 41000
5810 40000
5910 42000
6010 42999
6110 44999
6210 45999
6310 48000
6410 49004
6510 51994
6610 52999
6710 53999
6810 57001
6910 57999
7010 58999
7110 60999
7210 61999
7310 64000
7410 66004
7510 66996
7610 70000
7710 71003
7810 72998
7910 74995
8010 77001
8110 80000
8210 81000
8310 83000
8410 85003
8510 86996
8610 89000
8710 90999
8810 94000
8910 95999
9010 97000
9110 99000
9210 102998
9310 104000
9410 106999
9510 107999
9610 111000
9710 112999
9810 116000
9910 122001
10010 121998
