10 0
110 29
210 94
310 195
410 332
510 526
610 680
710 916
810 1186
910 1499
1010 1631
1110 1970
1210 2543
1310 3104
1410 2847
1510 3254
1610 3368
1710 3790
1810 4340
1910 4643
2010 5190
2110 5977
2210 6334
2310 6999
2410 7649
2510 8376
2610 8836
2710 9735
2810 10054
2910 11156
3010 11777
3110 12154
3210 13849
3310 14219
3410 15085
3510 16161
3610 17185
3710 17912
3810 18198
3910 19414
4010 20423
4110 21500
4210 22395
4310 23639
4410 24634
4510 25919
4610 27211
4710 27935
4810 29607
4910 30709
5010 32276
5110 32943
5210 34215
5310 35534
5410 37361
5510 38626
5610 39921
5710 42785
5810 42820
5910 44714
6010 46177
6110 47463
6210 49343
6310 50989
6410 53089
6510 54353
6610 56497
6710 57351
6810 58959
6910 60236
7010 62794
7110 64758
7210 66104
7310 68018
7410 70107
7510 72458
7610 74195
7710 76355
7810 78245
7910 78801
8010 81314
8110 83752
8210 85113
8310 86200
8410 88676
8510 91217
8610 93675
8710 95748
8810 97529
8910 99947
9010 102777
9110 104689
9210 107530
9310 109638
9410 111575
9510 113704
9610 115900
9710 119307
9810 122269
9910 121909
